N,Drone,Truck Diesel Medium,Petit Van Diesel,Truck Électrique Medium,Petit Van Électrique
2,0.32,44.0,19.6,15.2,6.6
3,0.48,60.1051177665153,26.774097914174998,20.763586137523465,9.015767664977295
4,0.64,68.66904755831214,30.588939366884503,23.722034611053285,10.300357133746822
5,0.8,73.72510220173764,32.84118188986495,25.468671669691183,11.058765330260645
6,0.96,76.99999999999999,34.3,26.599999999999994,11.549999999999997
7,1.12,79.27265356351768,35.31236386011242,27.38509850376065,11.89089803452765
8,1.28,80.93324858422383,36.052083460245164,27.958758601822776,12.139987287633573
9,1.44,82.19554522531769,36.61437923673243,28.394824714200656,12.329331783797654
10,1.6,83.18536488623958,37.055298903870366,28.7367624152464,12.477804732935937
11,1.76,83.98116250511453,37.40979057046011,29.011674319948654,12.597174375767178
12,1.92,84.63420891481002,37.70069306205174,29.237272170570733,12.695131337221502
13,2.08,85.17933537191524,37.94352212021679,29.425588583025263,12.776900305787285
14,2.24,85.64098711150592,38.14916698603446,29.585068274883863,12.846148066725886
15,2.4,86.03680077186986,38.32548398019658,29.72180390300959,12.90552011578048
16,2.56,86.37980626532232,38.47827733637085,29.84029670983862,12.956970939798348
17,2.72,86.67983027143276,38.61192439363823,29.94394136649495,13.001974540714913
18,2.88,86.94441844743194,38.7297863993106,30.0353445545674,13.041662767114792
19,3.04,87.17945775117063,38.83448572552146,30.1165399504044,13.076918662675594
20,3.2,87.38960638681651,38.92809739049099,30.189136751809336,13.108440958022475
21,3.36,87.57859711751675,39.012284170530194,30.254424458778512,13.136789567627513
22,3.52,87.74945528225773,39.08839371664208,30.313448188416306,13.162418292338659
23,3.68,87.90465816258336,39.15752954515077,30.36706372889243,13.185698724387503
24,3.84,88.0462532633461,39.22060372639963,30.41597840006502,13.206937989501915
25,4.0,88.17594732195265,39.278376534324366,30.460781802129095,13.226392098292896
26,4.16,88.29517414042766,39.33148666255415,30.501969248511376,13.24427612106415
27,4.32,88.40514687963169,39.38047451910867,30.53995983114549,13.260772031944752
28,4.48,88.50689880536487,39.425800376935264,30.57511049639877,13.27603482080473
29,4.64,88.60131534914814,39.467858655529625,30.60772712061481,13.29019730237222
30,4.8,88.68915956476289,39.50698926066711,30.63807330419082,13.303373934714434
31,4.96,88.77109251170523,39.54348666430506,30.666377413134533,13.315663876755783
32,5.12,88.84768970476034,39.57760723212052,30.692838261644482,13.32715345571405
33,5.28,88.91945448614459,39.60957518019168,30.717629731577222,13.337918172921688
34,5.44,88.98682897035724,39.63958745043187,30.74090455339614,13.348024345553586
35,5.6000000000000005,89.05020305976825,39.667817726624044,30.762797420647214,13.357530458965238
36,5.76,89.10992191569679,39.694419762446756,30.78342757087707,13.366488287354517
37,5.92,89.16629218460326,39.71953015495964,30.80290093649931,13.374943827690489
38,6.08,89.21958721447852,39.743270668267705,30.82131194681985,13.382938082171776
39,6.24,89.27005144718282,39.76575019010872,30.838745045390432,13.390507717077424
40,6.4,89.31790413449096,39.787066387182335,30.855275973733235,13.397685620173641
41,6.5600000000000005,89.36334249611618,39.8073071119063,30.870972862294675,13.404501374417425
42,6.72,89.4065444149547,39.82655160302527,30.8858971615298,13.410981662243202
43,6.88,89.44767074667855,39.84487151442954,30.90010443976168,13.417150612001782
44,7.04,89.4868673064738,39.86233180015651,30.913645069509126,13.423030095971068
45,7.2,89.5242665843133,39.87899147846684,30.9265648200355,13.428639987646994
46,7.36,89.55998923102426,39.894904293819906,30.93890537071747,13.43399838465364
47,7.5200000000000005,89.59414535006302,39.910119292300806,30.950704757294496,13.439121802509453
48,7.68,89.62683562396792,39.924681323403895,30.9619977610071,13.444025343595188
49,7.84,89.65815229963283,39.938631478927356,30.972816248964065,13.448722844944923
50,8.0,89.6881800525998,39.95200747797628,30.983189472716294,13.45322700788997
51,8.16,89.71699674733712,39.964844005631996,30.993144330898275,13.457549512100567
52,8.32,89.74467410780497,39.97717301165858,31.002705600878077,13.461701116170744
53,8.48,89.77127831040914,39.9890239746368,31.011896143595884,13.46569174656137
54,8.64,89.79687050961482,40.00042413610115,31.020737085139665,13.469530576442223
55,8.8,89.82150730496836,40.01139870857682,31.029247978079976,13.473226095745254
56,8.96,89.84524115700208,40.02197106084638,31.03744694514617,13.47678617355031
57,9.120000000000001,89.86812075842623,40.03216288329896,31.04535080745633,13.480218113763932
58,9.28,89.89019136611358,40.04199433581423,31.05297519920287,13.483528704917036
59,9.44,89.91149509861997,40.05148418029435,31.06033467043235,13.486724264792993
60,9.6,89.93207120334108,40.060649899670125,31.067442779336012,13.489810680501163
61,9.76,89.9519562968574,40.069507804963756,31.074312175278013,13.49279344452861
62,9.92,89.97118458155246,40.07807313178247,31.080954673627215,13.495677687232869
63,10.08,89.98978804119093,40.086360127439605,31.087381323320507,13.498468206178641
64,10.24,90.00779661780138,40.094382129747885,31.093602467967745,13.501169492670204
65,10.4,90.02523837191396,40.10215163839804,31.099627801206637,13.503785755787092
66,10.56,90.04213962795147,40.10968037972384,31.10546641692869,13.50632094419272
67,10.72,90.05852510635299,40.11697936555724,31.111126854921938,13.508778765952947
68,10.88,90.07441804382016,40.12405894679262,31.1166171424106,13.511162706573023
69,11.040000000000001,90.08984030291354,40.13092886220694,31.121944831915584,13.51347604543703
70,11.200000000000001,90.10481247208166,40.13759828301819,31.127117035810024,13.515721870812248
71,11.36,90.11935395708343,40.1440758536099,31.13214045790155,13.517903093562515
72,11.52,90.13348306465484,40.1503697288008,31.13702142233531,13.520022459698225
73,11.68,90.14721707917627,40.15648760799671,31.141765900079076,13.52208256187644
74,11.84,90.16057233301417,40.16243676652449,31.146379533223076,13.524085849952124
75,12.0,90.173564271137,40.16822408441557,31.150867657301866,13.526034640670547
76,12.16,90.18620751054179,40.17385607287771,31.155235321823525,13.527931126581269
77,12.32,90.19851589497108,40.17933889866894,31.159487309171826,13.529777384245662
78,12.48,90.21050254534924,40.184678406564664,31.163628152029737,13.531575381802385
79,12.64,90.22217990632439,40.18988014008996,31.167662149457517,13.533326985948658
80,12.8,90.23355978926124,40.19494936067092,31.17159338174479,13.535033968389184
81,12.96,90.24465341199742,40.19989106534431,31.17542572414456,13.536698011799611
82,13.120000000000001,90.255471435643,40.20471000315007,31.179162859585762,13.53832071534645
83,13.280000000000001,90.2660239986772,40.20941069031985,31.182808290452122,13.53990359980158
84,13.44,90.27632074857058,40.213997424363264,31.1863653495062,13.541448112285586
85,13.6,90.28637087113974,40.21847429714407,31.189837210030092,13.54295563067096
86,13.76,90.29618311782203,40.22284520702981,31.193226895247605,13.544427467673302
87,13.92,90.3057658310397,40.227113870190415,31.19653728708644,13.545864874655953
88,14.08,90.3151269678086,40.23128383111474,31.199771134333876,13.547269045171287
89,14.24,90.32427412173038,40.23535847240717,31.202931060234132,13.548641118259557
90,14.4,90.3332145434969,40.23934102392135,31.20601956957165,13.549982181524534
91,14.56,90.3419551600221,40.24323457128257,31.209039055280357,13.551293274003314
92,14.72,90.35050259230772,40.247042063846166,31.211991804615394,13.552575388846158
93,14.88,90.35886317213956,40.2507663221349,31.21488000492094,13.553829475820933
94,15.040000000000001,90.36704295770218,40.25441004479461,31.217705749024386,13.555056443655326
95,15.200000000000001,90.3750477481934,40.25797581510433,31.22047104028499,13.55625716222901
96,15.36,90.38288309751212,40.26146610707359,31.22317779732237,13.55743246462682
97,15.52,90.39055432708767,40.26488329115724,31.22582785844847,13.55858314906315
98,15.68,90.39806653791213,40.268229639615406,31.22842298582419,13.559709980686819
99,15.84,90.40542462183386,40.27150733154417,31.230964869360783,13.560813693275078
100,16.0,90.41263327216342,40.274718457600066,31.233455130383724,13.561894990824511
101,16.16,90.41969699364121,40.27786502444018,31.235895325076054,13.56295454904618
102,16.32,90.42662011181051,40.28094895889741,31.238286947716357,13.563993016771576
103,16.48,90.43340678183728,40.283972111909335,31.240631433725603,13.56501101727559
104,16.64,90.44006099681413,40.2869362622172,31.242930162535785,13.566009149522117
105,16.8,90.44658659558365,40.2898431198509,31.245184460292535,13.566987989337548
106,16.96,90.452987270113,40.292694329413976,31.247395602402673,13.56794809051695
107,17.12,90.45926657244935,40.29549147318199,31.24956481593705,13.568889985867402
108,17.28,90.46542792128423,40.29823607402662,31.25169328189819,13.569814188192636
109,17.44,90.47147460815162,40.30092959817663,31.253782137361465,13.570721191222741
110,17.6,90.47740980328362,40.303573457826346,31.255832477497975,13.571611470492542
111,17.76,90.48323656114577,40.3061690136013,31.25784535748672,13.572485484171864
112,17.92,90.488957825672,40.30871757689026,31.259821794323056,13.5733436738508
113,18.080000000000002,90.49457643521797,40.31122041205165,31.26176276852984,13.574186465282695
114,18.240000000000002,90.50009512725073,40.3136787385026,31.263669225777523,13.575014269087609
115,18.400000000000002,90.50551654279057,40.316093732697624,31.265542078418562,13.575827481418585
116,18.56,90.51084323062028,40.31846653000358,31.267382206941548,13.57662648459304
117,18.72,90.5160776512759,40.32079822647746,31.269190461349858,13.577411647691386
118,18.88,90.52122218083224,40.32308988055255,31.27096766246932,13.578183327124837
119,19.04,90.52627911449514,40.32534251463874,31.272714603189225,13.578941867174269
120,19.2,90.5312506700119,40.32755711664167,31.274432049640474,13.579687600501785
